name,label,HCP_A_CI_lower,HCP_A_CI_upper,DUD_45yo_CI_lower,DUD_45yo_CI_upper,DUD_childhood_CI_lower,DUD_childhood_CI_upper,DUD_residual_CI_lower,DUD_residual_CI_upper,HCP_YA_CI_lower,HCP_YA_CI_upper
"Stacked: Task Contrast & Task FC, RF+SVR",rf_svr_set5,0.424470430875647,0.556783836784266,0.355371148360959,0.481322856039189,0.343488851773221,0.461558679722326,0.067690558273895,0.208384642292012,0.500119076073204,0.590045146489181
"Stacked: All excluding Task FC, RF+SVR",rf_svr_set6,0.489810263203126,0.603038876223554,0.406710889988245,0.519829031118494,0.384006943084799,0.50146100661818,0.048319605932436,0.192624965030388,0.475727140759786,0.571146267605093
"Stacked: All excluding Task Contrast, RF+SVR",rf_svr_set7,0.407183485167675,0.542181910758447,0.279018981906634,0.408803775264991,0.290909511044027,0.421359096673669,-0.018428482346229,0.122432320313758,0.388829149522585,0.49874724578801
"Stacked: Resting and Task FC, RF+SVR",rf_svr_set8,0.379652011228982,0.516622515363458,0.251679923677239,0.381166783781017,0.257007615046798,0.389174118617607,0.006233522513518,0.14888702536533,0.373808053338929,0.487693089281943
"Stacked: All, RF+XGB",rf_xgb_set1,0.401945693732869,0.53613546065125,0.383027935337407,0.500449490303131,0.363033307597833,0.483057481676953,0.061237978209679,0.204528742818264,0.433707426753103,0.53628428656358
"Stacked: Task Contrast, RF+XGB",rf_xgb_set2,0.3743539779777,0.508900760086976,0.309181750399066,0.435648113768849,0.293301804070711,0.420001932344058,0.05737364140277,0.194448486237932,0.44764255475542,0.546409390900102
"Stacked: Non Task, RF+XGB",rf_xgb_set3,0.364499580385707,0.504489424640346,0.187651795699642,0.32944391803716,0.215993623029834,0.353413082286621,0.006899578834726,0.15478180943662,0.229348163063399,0.352872941705523
"Stacked: Task FC, RF+XGB",rf_xgb_set4,0.235967237870422,0.396356445695903,0.18799616770985,0.321723853786466,0.208058084571377,0.339795107483694,-0.030429357026342,0.104205895074834,0.400130135505845,0.510927920952411
"Stacked: Task Contrast & Task FC, RF+XGB",rf_xgb_set5,0.386938516079576,0.528343394307081,0.337237250839503,0.46264869475233,0.332410925375484,0.453371439471708,0.063225742933216,0.205035494034833,0.478902186812549,0.570228209445564
"Stacked: All excluding Task FC, RF+XGB",rf_xgb_set6,0.47791588886685,0.597995996917829,0.350578771373329,0.469932041213733,0.312197372819148,0.443280293938676,0.043522638602249,0.183108461507187,0.412874406648321,0.518351037633477
"Stacked: All excluding Task Contrast, RF+XGB",rf_xgb_set7,0.376185877357555,0.517167177227898,0.245528462547014,0.376959762981853,0.249801533847316,0.381992432093323,-0.009342981762757,0.129568805461817,0.359205058424237,0.474345495363045
"Stacked: Resting and Task FC, RF+XGB",rf_xgb_set8,0.36649697642966,0.506970082131931,0.244623160628993,0.376516337881469,0.249303928356613,0.379420833001131,0.00987772045164,0.147057168636692,0.356048158974242,0.471218189845326
"Stacked: All, SVR+eNet",svr_eNet_set1,0.464272466827718,0.5844965168237,0.453585790571956,0.557551198024168,0.482740111753731,0.576791705713108,0.065495786283729,0.208663199346353,0.391812170281105,0.504064013409641
"Stacked: Task Contrast, SVR+eNet",svr_eNet_set2,0.412364723398141,0.538597334995802,0.386654761395034,0.50472267633617,0.38890215830963,0.497828410191568,0.026642490179086,0.16510149017658,0.333223810058181,0.450153098286446
"Stacked: Non Task, SVR+eNet",svr_eNet_set3,0.366479580725513,0.509413381543994,0.277283625393125,0.402318952495728,0.310137825609878,0.426859031192291,0.036170859947888,0.178376066134593,0.2681918503459,0.389774439155377
"Stacked: Task FC, SVR+eNet",svr_eNet_set4,0.334857998135537,0.477758408262383,0.236668293332799,0.368607611838136,0.239333315932401,0.365437224880857,-0.020048195332365,0.109858388735348,0.433364642549453,0.536890955901243
"Stacked: Task Contrast & Task FC, SVR+eNet",svr_eNet_set5,0.432146990903386,0.553761725480576,0.408088645550192,0.526427609166457,0.411387291455257,0.517310958286043,0.031633881800042,0.167019548667119,0.392697191692358,0.503180576220139
"Stacked: All excluding Task FC, SVR+eNet",svr_eNet_set6,0.460706481408543,0.581359142739308,0.421608143454598,0.537324867895567,0.448657158745634,0.550029233866028,0.042064788501903,0.18328670023951,0.360864391312194,0.478055966391763
"Stacked: All excluding Task Contrast, SVR+eNet",svr_eNet_set7,0.455549990209743,0.580949222432644,0.324422549603979,0.443936443447543,0.333359201692703,0.445269110990712,0.018211900653375,0.151751767611784,0.416895648766608,0.524131215263352
"Stacked: Resting and Task FC, SVR+eNet",svr_eNet_set8,0.41114237867899,0.542924544742734,0.28130187266968,0.406607964032915,0.284246361458661,0.402219036028774,0.026337775142725,0.150693547717936,0.416697472069933,0.523454081767102
"Stacked: All, SVR+RF",svr_rf_set1,0.328367461188077,0.470391864597974,0.370238994467555,0.484739159816312,0.41189986809745,0.513192102898819,0.042371079847228,0.180602154184744,0.364720671666886,0.481943658166335
