name,label,HCP_A_CI_lower,HCP_A_CI_upper,DUD_45yo_CI_lower,DUD_45yo_CI_upper,DUD_childhood_CI_lower,DUD_childhood_CI_upper,DUD_residual_CI_lower,DUD_residual_CI_upper,HCP_YA_CI_lower,HCP_YA_CI_upper
"Stacked: Task Contrast & Task FC, eNet+XGB",eNet_xgb_set5,0.626980924177269,0.715371206931848,0.655648982837464,0.730492787915515,0.656156325697059,0.731787915214874,0.776954308468614,0.868649168753061,0.618933458356498,0.684592613832455
"Stacked: All excluding Task FC, eNet+XGB",eNet_xgb_set6,0.61241456035687,0.698965435050597,0.646042841832006,0.720590875845316,0.644398566879852,0.720280318544981,0.765454894380705,0.855497534497674,0.638402417469704,0.703910188140758
"Stacked: All excluding Task Contrast, eNet+XGB",eNet_xgb_set7,0.632653687201278,0.720486533795495,0.698528888165607,0.779803208201978,0.690157499555534,0.772879302430051,0.796828032335875,0.88640311582176,0.674121342978677,0.742065779247262
"Stacked: Resting and Task FC, eNet+XGB",eNet_xgb_set8,0.65408519878864,0.743420689108305,0.707276920128422,0.792121349935393,0.702269033747585,0.786586688188492,0.77324149125268,0.862229000887447,0.672656233473365,0.741341919296037
"Stacked: All, RF+eNet",rf_eNet_set1,0.690061156315852,0.783446161553597,0.695079334754464,0.77513638229702,0.693070201770123,0.773972462621343,0.746176985274601,0.832741785350299,0.697917332515702,0.769997043789466
"Stacked: Task Contrast, RF+eNet",rf_eNet_set2,0.694150936317264,0.786688686913505,0.69867939574808,0.778525686403914,0.690286273876865,0.772436732936215,0.755205893394006,0.842146390136358,0.683751221792867,0.752928303052613
"Stacked: Non Task, RF+eNet",rf_eNet_set3,0.68716417430957,0.782691855721372,0.726435290724032,0.810564452685458,0.717301154746576,0.800184827430703,0.786136105376841,0.873334890144371,0.737098353430899,0.812044376717509
"Stacked: Task FC, RF+eNet",rf_eNet_set4,0.714112026349293,0.812034498384009,0.724574802416875,0.809619467169651,0.721026724791652,0.80529545117751,0.780058714878729,0.868259805159567,0.708172721892651,0.781092335118547
"Stacked: Task Contrast & Task FC, RF+eNet",rf_eNet_set5,0.697167453675728,0.791158905906763,0.698754986437222,0.779756120598167,0.693780003940287,0.775808155121976,0.749644555787959,0.83668553555621,0.689431966821799,0.760372990260977
"Stacked: All excluding Task FC, RF+eNet",rf_eNet_set6,0.681215961711947,0.773275039279313,0.696230181685716,0.776105720002869,0.690127284946667,0.771372749525561,0.753614039127021,0.839858835190379,0.697220937185156,0.768961959500093
"Stacked: All excluding Task Contrast, RF+eNet",rf_eNet_set7,0.686807529278005,0.780928761604909,0.714724767988305,0.798830353219033,0.71438745467856,0.797747386280718,0.765100848026526,0.851940791836489,0.714575978734471,0.788731239614813
"Stacked: Resting and Task FC, RF+eNet",rf_eNet_set8,0.687179224241281,0.783426089782471,0.717917282654307,0.802446129399922,0.717356551595469,0.80052504064047,0.760814309643355,0.847441188998022,0.710267465667711,0.784591217475899
"Stacked: All, RF+RF",rf_rf_set1,0.698118723783263,0.791391246531658,0.70317091520318,0.783935911595346,0.69510870832258,0.776395900373043,0.74966698546201,0.835691630012227,0.702341064913065,0.774939157735076
"Stacked: Task Contrast, RF+RF",rf_rf_set2,0.694878947272987,0.78733251805634,0.699665651606764,0.780342596733548,0.694479421575976,0.776899532418762,0.765657572816801,0.853935376904949,0.688341230242914,0.758618382687976
"Stacked: Non Task, RF+RF",rf_rf_set3,0.685092514037085,0.780273782612833,0.732243160096995,0.816504298324743,0.717426964273626,0.801499958905034,0.800121230705562,0.890247583479402,0.741241670330153,0.81643894155736
"Stacked: Task FC, RF+RF",rf_rf_set4,0.713699214485499,0.812724567489236,0.734262940418013,0.818956405581717,0.716205838676011,0.800727888817916,0.788895227859417,0.878603345477479,0.70106140182592,0.774143575794644
"Stacked: Task Contrast & Task FC, RF+RF",rf_rf_set5,0.700642257533963,0.795105194961315,0.704037789026244,0.784493893671701,0.692982894226556,0.774774355430259,0.752412653905405,0.83944986585993,0.692803557320424,0.764563751339444
"Stacked: All excluding Task FC, RF+RF",rf_rf_set6,0.684582446312077,0.775685044811166,0.706086330842168,0.786723832172889,0.69309165742577,0.774404433558835,0.760417001613396,0.847045757306946,0.705741730114629,0.777622758714642
"Stacked: All excluding Task Contrast, RF+RF",rf_rf_set7,0.691301569471455,0.785538300865498,0.717763815313175,0.802247996718596,0.71146187275107,0.795093510385139,0.772775856450496,0.860551433580067,0.712601969108756,0.786767311094008
"Stacked: Resting and Task FC, RF+RF",rf_rf_set8,0.686556272250568,0.782661124708716,0.720929622427016,0.805264306268906,0.7148638835731,0.798554534095573,0.767397424328337,0.855399749855638,0.709888469325073,0.784283782209538
"Stacked: All, RF+SVR",rf_svr_set1,0.693954173101737,0.786841383685133,0.697795879408965,0.777866348612317,0.692475611700521,0.773252961276425,0.748299083154936,0.834801909014217,0.70051696556305,0.77242776927358
"Stacked: Task Contrast, RF+SVR",rf_svr_set2,0.701527382888221,0.79634146222058,0.696888884624907,0.777620190023318,0.688223026731568,0.769846464684442,0.758612431069632,0.846309433698347,0.686671053929539,0.757874608145589
"Stacked: Non Task, RF+SVR",rf_svr_set3,0.688470904155456,0.784212205769075,0.72714339734509,0.811385520359007,0.716198145885992,0.79936930788014,0.793322417877167,0.883070066434389,0.733692960299271,0.80934341708752
"Stacked: Task FC, RF+SVR",rf_svr_set4,0.713286075629934,0.810996046286229,0.730479951053966,0.815571886760833,0.719103335341715,0.803860002715543,0.788015635900318,0.877181069850622,0.705913918497162,0.778814275376201
"Stacked: Task Contrast & Task FC, RF+SVR",rf_svr_set5,0.69593578948356,0.790159001985815,0.703413231556443,0.783495536084627,0.693070214076348,0.774307700635565,0.751653304104439,0.838722854413027,0.690883223084874,0.762386431792115
"Stacked: All excluding Task FC, RF+SVR",rf_svr_set6,0.683321557800561,0.774583776454474,0.700791657366164,0.780259171832132,0.691062707152305,0.772336974687845,0.757763270269686,0.844603203043701,0.702961502507953,0.775034450296322
"Stacked: All excluding Task Contrast, RF+SVR",rf_svr_set7,0.693439923853508,0.787835770958285,0.717887274071444,0.801310430336104,0.713001356955621,0.795948916292992,0.773817037876381,0.860999933493149,0.713566129508444,0.787635872951201
"Stacked: Resting and Task FC, RF+SVR",rf_svr_set8,0.687271544714219,0.783309848726636,0.720451787040992,0.80480441992436,0.716686825622322,0.799285534942755,0.763895056670978,0.851549357288646,0.708729956056098,0.783044526805201
