,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
svr_facename,0.4086624684777635,0.3801545422408822,0.5058962454519653,0.47421311510081643,0.48189239921716764,0.3747715336189277,0.3898302120175144
svr_facename_FC_PCA75,0.2649852267599251,0.27024487348346066,0.38783269904867007,0.297764614816516,0.41215565266713405,0.13747061825698997,0.29247681982186635
svr_faces,0.22985781889780477,0.22908938902266512,0.26851720159034076,0.357339277971673,0.4264054773217169,0.2006139366778761,0.3516012170448096
svr_faces_FC_PCA75,0.17345146429071373,0.22707157512517429,0.1477666431113313,0.1568670982729483,0.18136940017198797,0.03719179569872579,0.2580361696398227
svr_mid,0.02500858850156742,0.1855149058374329,0.024830772507650128,0.0789927951369361,0.31395503454279633,-0.02678591047753247,0.04796568385384036
svr_mid_FC_PCA75,0.3244320052849783,0.30327133425135927,0.26808984536599156,0.2867239788482625,0.1817030979987702,0.1946222563897386,0.22551439422317407
svr_rest_PCA75,0.20471470865724545,0.17673913069068053,0.3852772689880074,0.34948709386869026,0.4231548986478177,0.2941300177638426,0.22630023890661272
svr_stroop,0.3057279294039572,0.2714919976538566,0.3129573074523212,0.22323221042540795,0.3411758362360117,0.37668791990569195,0.3500734278226272
svr_stroop_FC_PCA75,0.35187694951937637,0.30868610134206276,0.31088147999147187,0.21476433366905406,0.3172331497146225,0.2497621776463703,0.3094450695227203
svr_subc,0.2687921482310542,0.3634930847421647,0.3618475961679589,0.12860894905652986,0.31503058732542755,0.3275353150444099,0.30543079990519095
svr_surf,0.262744166052741,0.34645236610612073,0.2945258668191526,0.19128227813100335,0.3070972482659772,0.2870340781606494,0.33043185771580247
xgb_brainVol,0.273186032878414,0.2829333883734822,0.31860227772880223,0.22796537932589278,0.3088051410840542,0.2767590881513954,0.2891613635823346
xgb_cort,0.19715974541009607,0.07110572986989805,0.10804609920393848,-0.0013522252768652376,0.16275021010375462,0.16106084332766463,0.12093081954065288
xgb_facename,0.3077740526207115,0.3107550263814464,0.47062510085654025,0.4559582428478514,0.5133755642513702,0.28622905154110473,0.33510305059003187
