,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
rf_facename_FC_PCA75,0.6931277027182867,0.7954806479001265,0.8851574088380779,0.8424594988260338,0.8544839742970795,0.7765450349078317,0.7369017971690862
rf_faces,0.6862900302913942,0.8171929150186567,0.8890810552470955,0.8355328147248087,0.8559536989101725,0.7727234213182562,0.7282105611895623
rf_faces_FC_PCA75,0.6969863894159467,0.791161924313784,0.8960698656100247,0.8392840395710315,0.8502991860773554,0.7715030713751428,0.7351513143319212
rf_mid,0.692408996086091,0.7997115365372435,0.8800643880573837,0.8400771121726981,0.8494225078886619,0.7686322373797313,0.741479443757719
rf_mid_FC_PCA75,0.7114114825918354,0.7938618833901847,0.8969503649768107,0.8403674888031147,0.8505630122550806,0.7702173363431846,0.7286590885215343
rf_rest_PCA75,0.687264724350109,0.792726860924616,0.8831320506238661,0.8438286201512417,0.8517484190740858,0.7807877415107172,0.7365434776287829
rf_stroop,0.6989243687674643,0.7885507451518775,0.8649934317477109,0.8357715563215878,0.8472447906660101,0.758803677533408,0.7289007845950497
rf_stroop_FC_PCA75,0.7171690473782194,0.7864795862049462,0.882532299123311,0.8432983078100649,0.8533527986239625,0.7645080234151622,0.7377046620166331
rf_subc,0.6989268705377756,0.7940537937689299,0.9004216321610717,0.8375139283487215,0.8633999449592131,0.779288640668367,0.7379334085395827
rf_surf,0.6987074895081626,0.804252764977466,0.8842471873081149,0.8392351658041223,0.8501509935381089,0.7690264620857855,0.743656116825617
svr_brainVol,0.6860855857058836,0.80596289690828,0.8681474062717984,0.8453418834050487,0.846474708711279,0.7741826283654167,0.7413574667972707
svr_cort,0.6882377611194683,0.7989107816094368,0.8805172654789,0.8420131726137275,0.8544219341434124,0.7731185932604613,0.7409555509563824
svr_facename,0.6950024732431279,0.7865435799665127,0.9035638237460296,0.8334781256714442,0.8487223805348729,0.7534187595902978,0.7144450031033182
svr_facename_FC_PCA75,0.686703624197911,0.7929052358189769,0.8792080142132913,0.838386498550726,0.8499834073519265,0.7753191361480801,0.7415144985172427
svr_faces,0.6870800360301274,0.8328443959980727,0.8765212353425148,0.8408402483543893,0.8577259511598505,0.7939080622963645,0.74244150507337
svr_faces_FC_PCA75,0.6990595418255467,0.7976956870204163,0.8899399270672276,0.8458049879289562,0.8505429799094745,0.7770855920885468,0.7346873942944168
svr_mid,0.6982358905632793,0.8000297308919521,0.8812264818416398,0.8473747461301739,0.8442349619110652,0.7686017716699999,0.7530616649713227
svr_mid_FC_PCA75,0.7010347597168136,0.798425311810715,0.8878209935897844,0.8463593485438262,0.8465464034037002,0.7666156337284904,0.7409258490050776
svr_rest_PCA75,0.6867868579586202,0.7907760817947695,0.8771151017171047,0.8381224559275425,0.8447055276360336,0.7762062765285141,0.7580203832404565
svr_stroop,0.70678138111333,0.7974279197922285,0.8762099935746768,0.8269185946993913,0.8193597037882483,0.7806514037949124,0.747593058647877
svr_stroop_FC_PCA75,0.6862831983147154,0.7953062041622483,0.8792536613309151,0.8458768784420534,0.8423793165657605,0.7686204369813774,0.7508181333051289
svr_subc,0.6905746844188955,0.815899136507827,0.8811647128333931,0.8433780128049085,0.8470652588361501,0.7676618118101228,0.7413057490969286
svr_surf,0.6912853195086378,0.8028647430146192,0.8812317037095326,0.8463998508950712,0.846545322514116,0.7686273128105047,0.7451847891624666
xgb_brainVol,0.7066943823619503,0.8051294832425094,0.8683204599943226,0.8387079314490399,0.8599306228846026,0.7682938646332328,0.7372202713598267
xgb_cort,0.7046570700778056,0.8349932477836524,0.8587503714947374,0.8469606866798159,0.8781657262675667,0.780715143851401,0.7386306725920398
xgb_facename,0.6969332343357482,0.7830796662774518,0.885477560258111,0.8282659973697958,0.8484762427056326,0.7367444966617686,0.7099366266889489
xgb_facename_FC_PCA75,0.703322788863057,0.8057386339304464,0.888261524182933,0.8356223972986611,0.8584202106835134,0.7846683152146133,0.7512465909791394
