,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
rf_cort,0.006509425600755514,-0.045387603709494906,-0.003193185872048643,-0.055445742336466486,-0.08136179048360681,-0.004198279000602545,0.017564985961744273
rf_facename,-0.01259257271576475,0.021675975406663772,0.014266550808131995,-0.01839443199209212,-0.0608596015515801,0.05619382080677293,0.05666454067178894
rf_facename_FC_PCA75,-0.002006326438887873,-0.003948425780467835,-0.004453374515010378,-0.06077130017083121,-0.05258192150183705,-0.00493765522220202,-0.0010245065059457659
rf_faces,0.029438571989561457,-0.033193634612452394,0.0013301029236398865,-0.03902555039841049,-0.05052895376111355,0.007653375199387136,0.033188904457129076
rf_faces_FC_PCA75,-0.006147913091152146,-0.0002906478826281145,-0.016071276243106558,-0.044518720197175066,-0.04567237990265438,0.0020653111693235138,0.015217168911595413
rf_mid,-0.006915961822988814,-0.014736085285062428,-0.003069019582840893,-0.052387599747841795,-0.05951929245133325,0.004430031877085239,-0.012000794056859831
rf_mid_FC_PCA75,-0.03569648182358742,-0.0007723429595338782,-0.015642424716248327,-0.0643065499112816,-0.04490660610248143,-0.0008087106021759105,0.015103909321066533
rf_rest_PCA75,0.00010757914831815985,0.004508583667859889,0.002828181960711884,-0.05369398598754249,-0.04437223320212902,-0.013670784560031013,-0.00014076928166995017
rf_stroop,-0.009279393658137236,-0.002644087260228911,0.018814140196629192,-0.030262644418661333,-0.021709463017262287,0.032887792350700606,0.005516762106599016
rf_stroop_FC_PCA75,-0.022679678970840778,0.013671823854254916,-0.00617415559997081,-0.0596097956470385,-0.05188703062125288,0.01988539896565844,0.0010737610478892545
rf_subc,-0.011123152815754933,-0.00472320497055545,-0.018955928374693176,-0.04667129765290823,-0.06917267268795424,-0.025913930304938715,0.0011050422473515287
rf_surf,-0.0038484875929649665,-0.01471371349397299,-0.000390628037011842,-0.04468403398600462,-0.04083703089738533,0.0076430783974195116,-0.00907291311585312
