,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7
xgb_VolBrain,-0.025657697772153622,0.23889597068398388,0.05554215866977083,0.29603044605391254,0.11856016315280384,0.21180161550629947,0.4016299776520755,0.18001483591663522
xgb_cort,0.16940266343423305,0.17009267144334617,0.015238222353005787,0.16272398570921126,0.051101324414065404,0.17229450450352243,0.03517914713642878,0.10168723941251151
xgb_emo,0.15738436641031386,0.18421581586549743,0.2425443844227333,0.2045857032740281,0.20220826235047118,0.09857610634632186,0.2823469025841251,0.1611235218055418
xgb_gam,0.32237456596915054,0.10697379272098138,0.05540268871574695,0.1980448992163739,0.09368443904148002,0.03235850282754795,0.20720382749686855,-0.10559313218050424
xgb_gam_FC_PCA75,0.23486251379325745,0.22030575535252198,0.18892499276581332,0.26994096336402607,0.12003395077797954,0.3757174331998464,0.4465865008642713,0.35664445737219186
xgb_lan,0.4831429515335093,0.16668274984589826,0.47063804821484967,0.2730906105254956,0.20930641851084864,0.3261675811671528,0.4337786680956951,0.3692012209870088
xgb_lan_FC_PCA75,0.4291447131419556,0.2733738268986218,0.24452222186574646,0.285822759540335,0.11361201279004896,0.40556115606679904,0.3878142456309879,0.35160278802014616
xgb_mot,0.25181085086717925,0.21505370220208414,0.2665053684399894,0.4355504913482099,0.28414097321941567,0.07508773617443856,0.2905089204369331,0.2808306285719975
xgb_mot_FC_PCA75,0.3009719780942727,0.1481961364170581,0.315690354137355,0.1968829099117198,0.16006562756128775,0.261445460890199,0.33005975856972847,0.27340212912228506
xgb_rel,0.23936234791283353,0.21281102701264903,0.1384021562465374,0.41956362996947916,0.39247063792223713,0.287418443457403,0.45160415744134724,0.1662967336785286
xgb_rel_FC_PCA75,0.35527272003622956,0.2588704244720625,0.4139788802110951,0.32635033998539786,0.14084451078209795,0.18434397326548888,0.230388493358886,0.27934559819072097
xgb_rest_PCA75,0.1857061768299156,0.1735389068143443,0.15298435801291604,0.3226646436840967,0.11142938163760716,0.3372273176234344,0.38365214750394705,0.22149566250933453
xgb_soc,0.3735303088689572,0.20200113140249987,0.33605586050839753,0.27024847220724013,0.3013920482839379,0.269432550935085,0.17570009689904925,0.1444025741537841
xgb_soc_FC_PCA75,0.45486264123152387,0.4032739828955574,0.3588017487755489,0.2794239418154966,0.33005953874605587,0.3716763899559752,0.5034330967349326,0.2056283223911477
xgb_subc,-0.0076946845025332306,0.35189228990276944,0.20447831354804025,0.25192274826169037,0.11061893453198109,0.21731487759129967,0.4079246280326685,0.08213915248159098
xgb_surf,0.06251246626425123,0.09871626595641092,0.1569867474338903,0.3306683243349934,0.14985004425719317,0.23763213551232865,0.3179667955213503,0.2464717779446173
xgb_wm,0.49362300183792995,0.4357249638272369,0.5020568442162961,0.43147796107171155,0.32391678320242634,0.31729702369713586,0.5522190447406603,0.5188639328204816
xgb_wm_FC_PCA75,0.340956838975513,0.26088547619738434,0.45603982128552917,0.5123890412568969,0.1930839066775487,0.3626842727071719,0.4471881031265786,0.5497959656115001
eNet_eNet_set1,0.6622109170977365,0.5417671248020974,0.6593840470605448,0.649798385832405,0.47562255241991297,0.5375893616880716,0.6682185888227148,0.6343023321594735
eNet_eNet_set2,0.6226909063631674,0.4981096849277957,0.6000413123654917,0.6041753906259483,0.4566196932640509,0.47447109038112123,0.6290278247795799,0.6363314466771584
eNet_eNet_set3,0.23762392042517622,0.26863668335432744,0.3775177415583213,0.44718077931349137,0.27187466084536194,0.34036401435265184,0.3617054732719849,0.36968756834974587
eNet_eNet_set4,0.5088160001473068,0.4208048907385339,0.5945298950849135,0.5326364581191114,0.35681936169518363,0.5363378907611307,0.5748871617657757,0.511843965852769
eNet_eNet_set5,0.6498162677531154,0.5330301657149581,0.678264714816625,0.6362895726491016,0.47542268481667666,0.5400373280310101,0.6737404567257312,0.6513175145461978
eNet_eNet_set6,0.6375309864836141,0.5130095388558829,0.5968637415284834,0.633251233016631,0.46582789972110483,0.49796301087750255,0.6361358458983277,0.6100979448420993
eNet_eNet_set7,0.48852700919682823,0.4253402805897118,0.5521593065781873,0.5637763344214815,0.3536308424873972,0.5301436152855139,0.5536407448523977,0.49401319875024713
eNet_eNet_set8,0.4991645703805721,0.41520924593201447,0.5936348280146625,0.5347124717886693,0.35561496702206175,0.5314292824072924,0.5675194221994537,0.503973184521938
eNet_rf_set1,0.6462812664355936,0.5360185912438644,0.674707941412479,0.6110970522358818,0.4665418295304901,0.5689384240517745,0.6433995037918749,0.6251585754612261
eNet_rf_set2,0.6063058779413358,0.48614518385197275,0.6113734080656239,0.5639341079430721,0.4501085606679003,0.504071528020515,0.6213729424299496,0.630558476525175
eNet_rf_set3,0.2613724132571954,0.29656113445902743,0.338025875860667,0.4502050358529337,0.2715448491353827,0.3836488960345791,0.3892771158969237,0.37779171510321485
eNet_rf_set4,0.5064495269168157,0.422586039036907,0.5924356520516403,0.5313388259552843,0.36592151205813417,0.5091857367910346,0.5619034524342468,0.5132127732577403
eNet_rf_set5,0.6425317569896554,0.5217002277949143,0.6793133813693489,0.5931336743169527,0.46390036879575614,0.5604257552226397,0.6430501735416986,0.6470583058341046
eNet_rf_set6,0.6193063362618856,0.5028325297932332,0.6012545014757265,0.6038085986008987,0.4521535188056419,0.5349481352219455,0.639016765502865,0.5924074845036132
eNet_rf_set7,0.5003630293803342,0.42991191452658784,0.5676594831443341,0.5587946261260377,0.38537117861237263,0.514389633976387,0.5307629765548387,0.4918981575815259
eNet_rf_set8,0.5034441930531983,0.42068862569602894,0.5871614784301137,0.5306806882776568,0.36559012160835447,0.4991132749969127,0.5591838462478252,0.504191820544078
eNet_svr_set1,0.6601344471981323,0.5391214478857875,0.6613457414676098,0.6511370481145103,0.48503102847311674,0.527579626033736,0.6707710878492398,0.6332611422597151
eNet_svr_set2,0.6257319405270971,0.49825754539901157,0.6065459791091155,0.6051254222574579,0.45166125888622205,0.47149004712826875,0.6150283544050976,0.6379221937501143
eNet_svr_set3,0.24503904336385343,0.2830520711914003,0.3529781606596521,0.47820147586032236,0.27016074867138223,0.334648966029328,0.36957644890562835,0.37727270094829757
eNet_svr_set4,0.5125583293493783,0.42529704855759976,0.6014663018645382,0.528387245276299,0.36093129842608396,0.5330204406911415,0.574172146344667,0.5116564168061802
eNet_svr_set5,0.6554368413011378,0.52648829221061,0.6929816375128659,0.6374375888204822,0.47203832273571983,0.5331491553603488,0.6624707475080291,0.6477424069306426
eNet_svr_set6,0.6359592562803131,0.5074991670756067,0.6043873179989098,0.6317955031347926,0.4777661039104417,0.48762802703148456,0.6431826244630257,0.6216271027277833
eNet_svr_set7,0.4737171643598317,0.43368213434469366,0.5649863606812634,0.5570234870257638,0.35165189954251563,0.5260308974351812,0.5551803861077147,0.4973350702404868
eNet_svr_set8,0.49658944239030944,0.41698081547957583,0.5991651279876447,0.5337144050226318,0.36185540126395177,0.5209084760231719,0.5605781511441225,0.5015389536963458
eNet_xgb_set1,0.6452941239279881,0.5072362212118141,0.6684380888120169,0.6268074969089655,0.4753641551699127,0.5589051268183958,0.6558615575719808,0.6313672819654831
eNet_xgb_set2,0.5915688678408184,0.49373574927959696,0.612284853867477,0.5328240688093897,0.43295831554643005,0.4912120152128784,0.6012356811838874,0.6187278724729084
eNet_xgb_set3,0.25249586137002833,0.3148569093387262,0.3666028144707487,0.47132630748692217,0.29994890933735435,0.37340138186664307,0.36619531640403,0.37563035864059646
eNet_xgb_set4,0.5199413723823342,0.42374393468675475,0.585103500620874,0.5443489791062606,0.35283573034949656,0.5083393979277457,0.5592612199909096,0.5219986537277124
eNet_xgb_set5,0.6410718634175879,0.5146707418285594,0.6706746253909962,0.5984729930678172,0.47278983347852815,0.5277747543700695,0.6526828775875462,0.6404248796255254
eNet_xgb_set6,0.6072375454930528,0.48546856646438463,0.5844389329795117,0.6014063628997092,0.4642722377116998,0.5176159795109346,0.6329691581635151,0.5904554473437611
eNet_xgb_set7,0.49569440491947586,0.4353730544924246,0.5627863437183886,0.5639579575247406,0.39084530282274366,0.5273748523860016,0.5246829385514302,0.4984823500671678
eNet_xgb_set8,0.5129045610755072,0.43500418950477754,0.5865694347486301,0.5302640691896158,0.36145221359865454,0.5116640962482191,0.5602388571750123,0.5127343414595598
rf_eNet_set1,0.609101523646744,0.4610242203991778,0.5910043316863639,0.6238331769111135,0.4485962081859318,0.5366300034654196,0.6508206989752865,0.5540228449360118
rf_eNet_set2,0.6146018557556325,0.455297648054953,0.5831774962162029,0.6168774250602358,0.516810612824685,0.4320682256993671,0.6517154057638332,0.5876202622841512
rf_eNet_set3,0.2889744735547931,0.2481144092825905,0.22970230576467682,0.3649058123117581,0.34827401382326095,0.4564551945567693,0.4215196509048488,0.2633273899775405
rf_eNet_set4,0.5185462740663105,0.36227374535487467,0.5001115177305553,0.46268767177972103,0.24077981374271715,0.4736578642949326,0.5513946968433532,0.44177764834346284
rf_eNet_set5,0.6181723186148045,0.45826461867711166,0.6064439227412177,0.6202702437371554,0.433482988126456,0.5135843148734571,0.6690756762960988,0.5818279601017913
rf_eNet_set6,0.6081369271486963,0.476775578318208,0.5665709390077289,0.630934003850486,0.5249256469216524,0.5211122677529123,0.638522513505418,0.5438710292624498
rf_eNet_set7,0.5028149119624078,0.36770018154442435,0.4801107070719389,0.4980301062989442,0.3002088566785289,0.5099607768013605,0.5430145399322986,0.42119967102088407
rf_eNet_set8,0.5089652591890093,0.3650345161734701,0.4846617040194442,0.45785138435065664,0.26298798914192656,0.4915692032591388,0.547183205746983,0.41510517075640385
rf_rf_set1,0.5465903361026718,0.4192439697954922,0.5459422487928163,0.5727881801829138,0.38452534589749354,0.5051484517085312,0.5853395149677051,0.5160816833688782
rf_rf_set2,0.6250885637128039,0.42780086131760064,0.5956848147888957,0.5836351109769521,0.4926942592093013,0.38471820465070894,0.6123543659935827,0.5376899447238948
rf_rf_set3,0.2727375910842293,0.21966686847737626,0.22181450939002106,0.3207859568854584,0.31856011535294826,0.4384590766817293,0.37491519345974145,0.27491426954563936
rf_rf_set4,0.5029706366180329,0.367506527038186,0.5124771209659966,0.5004844082545661,0.2410891118414886,0.44270866352659066,0.5634032488640122,0.46879555114099336
rf_rf_set5,0.5859532407871078,0.42436813101123394,0.5734500585220494,0.6115476338922787,0.3878223645190018,0.4684127692325325,0.6329264722632612,0.5576284088245327
