,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4
eNet_xgb_set5,0.6172057017601305,0.6118332940297675,0.455521126330356,0.570363495785428,0.4843896962102357
eNet_xgb_set6,0.6360192204308088,0.6411921569560881,0.5345669286574664,0.5791823845760005,0.5335088482440888
eNet_xgb_set7,0.6327532305470116,0.5458519047112275,0.5312195403385388,0.49910462002839706,0.5269723605675217
eNet_xgb_set8,0.5703889071276464,0.501540333808094,0.5207943278917213,0.4828116186044533,0.4649595753705803
rf_eNet_set1,0.6001328898526166,0.5476985642500601,0.5791840644076671,0.564327844613708,0.5218590738250521
rf_eNet_set2,0.5059231886750829,0.5396133898122342,0.463797076566179,0.4421158182292162,0.3744236840467323
rf_eNet_set3,0.5860008364770477,0.3711069864661869,0.432626087803233,0.42252086984130693,0.42900610870832845
rf_eNet_set4,0.41649442164403083,0.36652321184738584,0.37477494675909107,0.4034769156271194,0.15521535548252458
rf_eNet_set5,0.5533213156797369,0.5191104890189961,0.5043862341065021,0.5227241374913558,0.3977510537744274
rf_eNet_set6,0.6289076378390923,0.5745705510798311,0.5721814641947115,0.539847576551858,0.5436602278602385
rf_eNet_set7,0.618543498904328,0.46077899509528897,0.5053088586957686,0.5126263033776606,0.47374423557574574
rf_eNet_set8,0.5536190540226176,0.4372732787281782,0.5018206251401649,0.49959493585554826,0.3278865499425493
rf_rf_set1,0.5184117668691908,0.4999226123108702,0.5528839799450374,0.5474124571864407,0.48341794679890787
rf_rf_set2,0.49965894454159737,0.5482806275292809,0.45577118359406293,0.4056969563159373,0.3355942344294873
rf_rf_set3,0.602340520199636,0.3751366750844402,0.42241295921288546,0.3997207919638206,0.4015972116063352
rf_rf_set4,0.39907486096441264,0.3604974562287264,0.35321173997330424,0.35479568918254434,0.14095450754909922
rf_rf_set5,0.5236565137897863,0.4744565601046785,0.4895651864577569,0.5008755461683789,0.38819175191018457
rf_rf_set6,0.6278289457033642,0.5623856222410604,0.5827521274506239,0.5178108811670058,0.49219282033961553
rf_rf_set7,0.6031726233007727,0.4314370443393185,0.48468249987491896,0.4997745462909537,0.42382549523753665
rf_rf_set8,0.5460302948935447,0.421725005720781,0.48478688011236726,0.49852221632390625,0.3170603186634642
rf_svr_set1,0.546911431836751,0.5098942324845261,0.5573156414292606,0.5458429700146306,0.4989657462576568
rf_svr_set2,0.4550300281234557,0.39628652270912934,0.4705791892350699,0.4125004145273856,0.35797891707131135
rf_svr_set3,0.5887356018230929,0.36262711550107046,0.3989032279660614,0.4077783203509549,0.3861822735304413
rf_svr_set4,0.3989662101227832,0.3524075210290628,0.37958605282204755,0.3970948112387775,0.1476228406948039
rf_svr_set5,0.5706319010718273,0.4860462871103791,0.4990924458748393,0.5168895875096582,0.3676557537874922
rf_svr_set6,0.6248194644208505,0.5368803677182492,0.5443003046869939,0.5300577624300732,0.5217493251279125
rf_svr_set7,0.5801658403506513,0.41408522376066614,0.4847501597363512,0.47771928175827494,0.43111080437516464
rf_svr_set8,0.5486329233453155,0.4307181176883218,0.4673377896504908,0.4823027065271898,0.3240868192148735
rf_xgb_set1,0.44759415239169537,0.4501675420690168,0.5343768460547595,0.5104039571848833,0.4272391640318445
rf_xgb_set2,0.5149576234742281,0.5223153513776353,0.4718965537192728,0.4012451360853303,0.3178647288089121
