,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7
rf_lan_FC_PCA75,0.13858047500888526,0.09555943022385383,0.0693004239010101,0.058975121308977085,0.019187440011501633,0.1569278303050703,0.10692808103963913,0.09727092917605462
rf_mot,0.07237378449651821,0.05727809464677813,0.06638307867753801,0.09963082096989362,0.07404968117151978,0.002433258243214498,0.025453239611611722,0.07659342477583231
rf_mot_FC_PCA75,0.09977809564955309,-4.248424970487719e-06,0.09378000216591742,0.041185253600707794,-0.003762474766370927,0.04755798869713668,0.07914736010718648,0.07614945925660543
rf_rel,0.095530066067255,0.05228265053897485,0.00863220338559767,0.1349871266468038,0.18280384550148587,0.07584478184978571,0.13071555583510996,0.030370093312482083
rf_rel_FC_PCA75,0.10325864208968727,0.052176523081694404,0.1123769533086385,0.10095328593341568,-0.004470283605141567,0.06241233740705787,0.048990967873110414,0.09645066393189405
rf_rest_PCA75,0.05502314112108275,0.041725449652157964,0.03303693091925819,0.015387643794597783,0.05948327247994467,0.11121372288110365,0.07209028855017041,0.022953741846200137
rf_soc,0.14930543361590254,0.025908138132502367,0.09308299368361472,0.10251294281781809,0.11217546402863587,0.03469774221187771,0.01913830796995597,0.08133444125031275
rf_soc_FC_PCA75,0.15691523366625104,0.10702517271093437,0.1284263137424364,0.016327255126655893,0.098190412683696,0.13024093719267082,0.13073666087096192,0.0221782991298487
rf_subc,-0.0519909075863314,0.0794892563916183,0.04721285370391892,0.018411017344729497,0.01304791536087302,0.048728041391815635,0.05724502569898138,0.009679225351982734
rf_surf,0.010428893912665993,0.03194867475909702,0.011829381571516251,0.10056874543595562,0.06373425349958606,0.07763237116405519,0.06852125086236904,0.06420222612738169
rf_wm,0.24375659707736486,0.19679261951525917,0.19321288273098547,0.18359038547273598,0.08010181925449744,0.09344589487684929,0.2306088797364384,0.2787376243003262
rf_wm_FC_PCA75,0.11877233649581509,0.024478548760614616,0.1402725231723596,0.11019969714189182,0.010922327834078427,0.13570868267188108,0.17399562525236434,0.16163085472208671
svr_VolBrain,-0.06331569437194151,0.02393291338514747,-0.016161172577925154,-0.02167912113727244,-0.03607679602974834,0.03971531495014313,0.12996398303929924,0.03345375924111649
svr_cort,0.0024331029351779554,0.002243130509611335,0.01890003364254189,-0.017321759680902993,-0.009839536816605765,0.04085041216170526,0.01624380683003601,0.001406428586750108
svr_emo,-0.007044742145982497,0.06094813059970705,0.09352981399246596,0.09568402637982965,0.010185055406235377,-0.0001692965306805405,0.01719063425979006,0.16556867272910047
svr_gam,-0.016357247781479733,-0.017618261521160195,-0.03584554368814641,0.039029526545005355,-0.02979884740446659,0.009589665385793533,0.04313463608366552,-0.01569117229170569
svr_gam_FC_PCA75,-0.004927184185573363,0.041431725434092126,-0.03165577443033629,0.13306545180610674,-0.035499802839286776,0.12710081086471803,0.20688451705663147,0.08252533992012268
svr_lan,0.1868277715426223,0.07962744608317507,0.18439162548201904,0.0627860422020462,-0.01899671620954435,0.17818075279402779,0.23935405991182646,0.23635516489426156
svr_lan_FC_PCA75,0.2584127556748874,0.014811147783385992,0.11188219940248745,0.17136594097322655,-0.0289844781877564,0.2516158826589401,0.1824461187397446,0.13880120432413612
svr_mot,0.09867263524805503,0.10728942767208005,0.11341706159463139,0.0765094592338258,0.06685404171278153,0.02752713381292249,0.1654792377561798,0.05510125252338083
svr_mot_FC_PCA75,0.10094207507012387,0.03286199568639481,0.09371901637474689,0.04646190758720614,-0.035382720639940635,0.028271971289686504,0.09677229651646757,0.10510000530557329
