,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
eNet_rf_set3,0.21710451879360676,0.22754168049472825,0.3363148878443589,0.38027588285819186,0.5565262627517645,0.4213987400614807,0.3131205916911043
eNet_rf_set4,0.3441399260894954,0.26285578436308316,0.2607063463940419,0.34419524880935454,0.34832847700331937,0.1111408933281928,0.3731102355587168
eNet_rf_set5,0.5212965301178025,0.39449197649428674,0.5072111720881143,0.5222707176551167,0.5639582021953053,0.4407936565233498,0.528686739343549
eNet_rf_set6,0.450643681940243,0.3904636544417066,0.5507872640966625,0.5174617732725056,0.6458940357969873,0.5623138902625535,0.538157227184316
eNet_rf_set7,0.3411603686356482,0.3018058002736157,0.38311240491182086,0.40018218809544215,0.5273690849881285,0.3693691374328786,0.41919240772248767
eNet_rf_set8,0.32862693291551537,0.2657100685584528,0.31238810852748894,0.39214419892166347,0.4966657406052722,0.2176063063137804,0.33734169787530777
eNet_svr_set1,0.4773818828633391,0.44573735592042396,0.5695022740279361,0.5707957215735177,0.6292577224347035,0.5229972882370597,0.6129558313598317
eNet_svr_set2,0.45597692513902577,0.33777973986661225,0.5368870898961526,0.5197464036550765,0.4827710143836793,0.43238157537711586,0.4702679928670105
eNet_svr_set3,0.2512037720226841,0.245481138342842,0.37281630174909985,0.4114300400464155,0.577213974631908,0.4384755101047925,0.36426515987938146
eNet_svr_set4,0.3367635418920232,0.29598868951512014,0.24253553673121792,0.3369186833955887,0.33121537319127015,0.10570652782444451,0.4209620851353151
eNet_svr_set5,0.5241439254497827,0.39612235352967545,0.4986732422080965,0.5686320447632063,0.5187155845648825,0.4198758043607239,0.5366063850237376
eNet_svr_set6,0.4311082955007274,0.37459140722676365,0.5855007282511512,0.5590793624987149,0.6211184127801781,0.5593732817363732,0.5587039007778756
eNet_svr_set7,0.31856907561571823,0.3069512290573019,0.3911655491874805,0.4008042802819023,0.51576540678879,0.32879261464809695,0.4399552463961873
eNet_svr_set8,0.30254789910109126,0.2759336042759935,0.27668828095755327,0.4252030913398035,0.49492078085727825,0.17964200088876975,0.39471610802509616
eNet_xgb_set1,0.47789273053357256,0.44093729019377903,0.5785644093626179,0.527356894094593,0.6230887091485146,0.5578077036267295,0.5501980901074218
eNet_xgb_set2,0.44809204266653513,0.35572965268809836,0.5302095086799128,0.45367414656689486,0.5029622375058718,0.440219398079711,0.45894602154229236
eNet_xgb_set3,0.20908234759211453,0.25075377187495407,0.34456224432918353,0.4242652757332556,0.5747160825050504,0.4202708512973478,0.31316636554304456
eNet_xgb_set4,0.3514159284468929,0.26581152244585315,0.2436928461785705,0.34238422925399037,0.3576712969009559,0.10496012292772831,0.36059059045694386
eNet_xgb_set5,0.507655881913108,0.4189063341103309,0.5349289191294113,0.5270130051692057,0.5474396677836311,0.4446677224422751,0.516937792472405
eNet_xgb_set6,0.4409103454294909,0.3987324883697053,0.5865954636978359,0.5066805314576064,0.6192444117265761,0.5588501085188131,0.5163592833212728
eNet_xgb_set7,0.37331865943530496,0.30841895542709835,0.3821394940779937,0.4116849594959596,0.5232064995541703,0.3892377216834649,0.40722995303701875
eNet_xgb_set8,0.304426396074908,0.2590516803656645,0.29848854058815544,0.40903347356020786,0.5071881678266352,0.23277018793239893,0.3356199483437299
rf_eNet_set1,0.5407210617091568,0.4425607030717895,0.540224038910003,0.5006751339130209,0.6077281316153296,0.44050365424872745,0.5296052539184529
rf_eNet_set2,0.43224199487165516,0.33772427385309345,0.4720179419857823,0.4337225241535013,0.4461884280787274,0.35922859804128116,0.4029317705066071
rf_eNet_set3,0.259755179005012,0.18721383985333445,0.32667744254644066,0.3304000862000351,0.42071282375683616,0.2851748629662827,0.21829182593561086
rf_eNet_set4,0.3696318035875241,0.3232121457854687,0.2716863984827966,0.24102862625230018,0.39565740409242406,0.0833737955107218,0.3619519915625123
rf_eNet_set5,0.5102276638514281,0.41332067553759805,0.4279781980153349,0.45671554708877266,0.5298597459890803,0.32565841304381277,0.5037385236828307
rf_eNet_set6,0.4689504847387763,0.37496492422408073,0.5678554968334142,0.5102717711709882,0.5522329097744265,0.4429201521909174,0.4986047875155364
rf_eNet_set7,0.39599161050369036,0.3246554028694034,0.40448284014778335,0.3471762945477128,0.4945741989529989,0.1999461919475809,0.4531751067107661
rf_eNet_set8,0.3804129918323911,0.3244781348832889,0.328910007099275,0.314369206790462,0.48333074060749737,0.16387240866503444,0.40351292421894147
rf_rf_set1,0.4840186704604603,0.4338386082947144,0.5010381903576524,0.4722135708622923,0.5641869033228497,0.35576686249974593,0.4691017046419004
rf_rf_set2,0.41833664486535616,0.33943696209167296,0.4529464958895162,0.42133682190608607,0.4362151095546718,0.329169279653612,0.35239496388514546
rf_rf_set3,0.24204490876526968,0.1713067510150194,0.29342281286128996,0.2979113269433736,0.3749645614611282,0.26113088561252346,0.1943237918543632
rf_rf_set4,0.35805339149824555,0.3183924482097,0.1957867867335189,0.23537431716837004,0.3964949792541107,0.05982345228364325,0.33819700659915086
rf_rf_set5,0.4759558452712691,0.41916021169432377,0.3892731153351485,0.454829702560815,0.5105418951319869,0.26717818435599583,0.4608287532137624
rf_rf_set6,0.4466456604939333,0.35143131624830964,0.5385984262935917,0.4273328047828767,0.49773517168400716,0.3943599583131393,0.4034888285155489
rf_rf_set7,0.36752258222271295,0.31593265848188956,0.3639338257268286,0.3215283342370524,0.48526552552484065,0.1940174374071912,0.36648184927477706
rf_rf_set8,0.3545531176947799,0.29446607344103704,0.3007221468792736,0.2914471863553564,0.4870899136055852,0.1804334356920747,0.35167247387306455
rf_svr_set1,0.5099717171601099,0.45119282311220393,0.5216315562900735,0.44852899426660964,0.6080860340903472,0.4560489844044251,0.5091179511702856
rf_svr_set2,0.40873777809937584,0.3417722880851788,0.47389862533202337,0.38613645349192793,0.4486920215106559,0.3530420776567263,0.4032576203060375
rf_svr_set3,0.2523310252414225,0.17976003232582982,0.32017007335041475,0.3274444771232156,0.40972818833790897,0.28278694337743804,0.21311134650903857
rf_svr_set4,0.35693095472571307,0.32175093651557374,0.2103493589846446,0.2111946817099945,0.3884825223724476,0.07700215532430317,0.3605202553247363
rf_svr_set5,0.4696427394104378,0.4314710613818011,0.3822826914044992,0.39334577628194917,0.5144080085790192,0.32244702890618393,0.48371949832824035
rf_svr_set6,0.4371153429199756,0.38284035514551235,0.5653773119956229,0.45370131166967287,0.5392324745558232,0.4588356646683809,0.4670724312655965
rf_svr_set7,0.3604459107031366,0.32526825425350836,0.3922723000741607,0.3104157089933471,0.49142582357175535,0.2052140731768663,0.39553010776262876
rf_svr_set8,0.3718099349791587,0.3119704511871239,0.30308643091507537,0.29398857597932704,0.4948725574615007,0.19414847596041573,0.3507166186606027
rf_xgb_set1,0.44861104388887985,0.4150927333878168,0.4917502034663569,0.4045376152886242,0.5553524855374401,0.39201284099580014,0.45859138598833304
rf_xgb_set2,0.3568337509599928,0.33368994780005734,0.44295031822091424,0.3493724227079754,0.4415851173947526,0.29218510206592563,0.3739865879691131
