,r2,mae,corr
rf_rest_PCA75,0.051364273905564445,0.7880963864632508,0.2701624995776874
rf_soc,0.0772694329638275,0.780267857075105,0.3042043406469033
rf_soc_FC_PCA75,0.09875503564043189,0.768698466928107,0.353300123749208
rf_subc,0.02772780345719851,0.8025766526408618,0.20695254905221938
rf_surf,0.05360822466657836,0.7949024353469741,0.2485981783094648
rf_wm,0.18753083787055708,0.7317824418215271,0.45249472576330185
rf_wm_FC_PCA75,0.10949757450638646,0.7655110764201898,0.39129488814054486
svr_VolBrain,0.01122914831235236,0.8021286586511822,0.19107812143826855
svr_cort,0.006864452271039226,0.8024928472043251,0.16415989939052367
svr_emo,0.05448653683630819,0.7908226852438913,0.26688301544706317
svr_gam,-0.0029446555840617755,0.8184529339053286,0.1560779918993768
svr_gam_FC_PCA75,0.06486563545330933,0.7747819433895999,0.30882210316865627
svr_lan,0.14356576833755424,0.7410830588458678,0.39926532529992464
svr_lan_FC_PCA75,0.1375438464211315,0.7489011432649333,0.4012886167441859
svr_mot,0.08885628119423211,0.7785184193978232,0.3199450264909399
svr_mot_FC_PCA75,0.058593318398782304,0.781942559357364,0.30804066949819003
svr_rel,0.09766599121237043,0.7635979849382957,0.33796705541194555
svr_rel_FC_PCA75,0.10711152724408955,0.7632919107049919,0.3594144721703926
svr_rest_PCA75,0.054878451711845674,0.7780858419437827,0.30240484361435405
svr_soc,0.049864831794944636,0.7898241106865325,0.2605428857826836
svr_soc_FC_PCA75,0.15897265141762085,0.7351861344387695,0.4149439801805196
svr_subc,-0.008505629373552356,0.8130466051876392,0.14930637605504118
svr_surf,0.04935046647908328,0.7921203443799839,0.2541937678427703
svr_wm,0.2350430610319206,0.7011614814891534,0.5039166502736162
svr_wm_FC_PCA75,0.19219146485700933,0.7237841425458117,0.46292345089134945
xgb_VolBrain,0.020813308869369204,0.8033270018935721,0.18460218373291595
xgb_cort,-0.009376828548488383,0.8197766884982401,0.10971496980079057
xgb_emo,0.018983627600775335,0.8069469679072909,0.1916231328823791
xgb_gam,-0.004872019562607979,0.8183977767183883,0.11380619797595563
xgb_gam_FC_PCA75,0.06301762171397371,0.7803755533682041,0.2766270709362385
xgb_lan,0.1026541227141307,0.7690556209906777,0.34150103111005725
xgb_lan_FC_PCA75,0.0741430048657959,0.7805689307163337,0.3114317154943301
xgb_mot,0.05384180224264197,0.7968351243820773,0.2624360839075309
xgb_mot_FC_PCA75,0.049757431279691164,0.7873753688779879,0.24833929433798824
xgb_rel,0.07438268233959905,0.7794431250578502,0.2884911417051269
xgb_rel_FC_PCA75,0.058959898538106584,0.7870938401009935,0.2736743675377473
xgb_rest_PCA75,0.026745392283394842,0.7928557920970908,0.23608732432694945
xgb_soc,0.049858021971027,0.7892725825480357,0.25909538040736885
xgb_soc_FC_PCA75,0.11612783240191052,0.7563631297918507,0.3633949578182798
xgb_subc,0.028449239157510534,0.8030730277277405,0.2023245324809384
xgb_surf,0.020541096949573304,0.8061965812668337,0.2001005696531294
xgb_wm,0.18547571170101868,0.7298768712788557,0.44689744442673485
xgb_wm_FC_PCA75,0.13838000743132392,0.7480560760602646,0.3903779282297653
eNet_eNet_set1,0.3522141992690486,0.6459233433445271,0.6036116637353696
eNet_eNet_set2,0.30353259134041577,0.663810578491334,0.5651834186730392
eNet_eNet_set3,0.0936220030521556,0.7723736796712913,0.33432385518388263
