,r2,mae,corr
eNet_rf_set6,0.25361029371607385,0.6755591762966795,0.5142335812674089
eNet_rf_set7,0.1477217145036591,0.7221371165172884,0.3992504364226447
eNet_rf_set8,0.1075491086585545,0.7403472595711256,0.3505323207985371
eNet_svr_set1,0.26450884023022553,0.6712223212511381,0.5238610053002674
eNet_svr_set2,0.17680043390244576,0.7149827468018577,0.4514532841308398
eNet_svr_set3,0.10805960334616072,0.7419845743399504,0.35094156294099
eNet_svr_set4,0.07823899888661019,0.748813433683145,0.3014066347832748
eNet_svr_set5,0.22677674221957972,0.6841677977598442,0.4864486367363337
eNet_svr_set6,0.24231093321837135,0.6827799933138475,0.5094305158796585
eNet_svr_set7,0.1393840237835655,0.7291529903368771,0.3881146098715909
eNet_svr_set8,0.10740376443701662,0.7399098882749275,0.34524372792427643
eNet_xgb_set1,0.24293031147115524,0.6832729013904278,0.5102732964578848
eNet_xgb_set2,0.19244684062797957,0.7125555261975043,0.4635363690652562
eNet_xgb_set3,0.10697003674488938,0.7429527606381263,0.34804189251071804
eNet_xgb_set4,0.07542450100129093,0.7465497198325058,0.3081476677629068
eNet_xgb_set5,0.22681873952632786,0.6923914272121372,0.4946119645922232
eNet_xgb_set6,0.2426570659124543,0.6803223428980115,0.5085239017405289
eNet_xgb_set7,0.12494089850280936,0.7308311751794714,0.3786991490730079
eNet_xgb_set8,0.09449210852335678,0.7427006023922645,0.337662920967648
rf_eNet_set1,0.1374680630452621,0.7322197106035798,0.46406456751281505
rf_eNet_set2,0.127623994999599,0.7297753009074635,0.3757308592141647
rf_eNet_set3,0.07974073452446753,0.756869178232139,0.31068301935950055
rf_eNet_set4,0.06110329310643121,0.7618459024615062,0.28456118511534967
rf_eNet_set5,0.12656576857920515,0.7332485087829329,0.4104649622730165
rf_eNet_set6,0.13806400568624738,0.7298421199327667,0.44819225075165975
rf_eNet_set7,0.08949282151867567,0.7553775041105508,0.3599513182797946
rf_eNet_set8,0.08018380970369957,0.7578125143878249,0.32933129970078767
rf_rf_set1,0.130672005008766,0.7346169934008675,0.4427941381596076
rf_rf_set2,0.11091418057641875,0.7340190009010615,0.3386773647307893
rf_rf_set3,0.07259999966909177,0.758270263126673,0.28663119978432017
rf_rf_set4,0.06527870315167876,0.758302902445597,0.2778974460374935
rf_rf_set5,0.12732517140552949,0.7327259748717145,0.39745811297373246
rf_rf_set6,0.130318756357128,0.7325850875511758,0.41823421612673783
rf_rf_set7,0.096976492375534,0.7521444289618974,0.3522408324143789
rf_rf_set8,0.08551161283665876,0.7554933034867986,0.3212370290812875
rf_svr_set1,0.13943322389900561,0.7322294778325443,0.45278771859154915
rf_svr_set2,0.13001902072877994,0.7270544790788893,0.3709805732186194
rf_svr_set3,0.08065215153344647,0.7559949649390381,0.3026034361016635
rf_svr_set4,0.06350593031489311,0.7607633216743972,0.2762105074680828
rf_svr_set5,0.13043740608987253,0.7321858954904867,0.3994881755507568
rf_svr_set6,0.13950736597624921,0.7307915830956025,0.44066578286509595
rf_svr_set7,0.09766010584678941,0.7537342677524308,0.3593633490542141
rf_svr_set8,0.08535855430595997,0.7570229317422231,0.32347967746233375
rf_xgb_set1,0.11568374412378839,0.7416296548687147,0.4168478792855072
rf_xgb_set2,0.11434659400090076,0.7325678081632602,0.3443449616359812
rf_xgb_set3,0.06863732290274685,0.7601409613788321,0.28109272535442115
rf_xgb_set4,0.06425720257391872,0.7588707103479623,0.278317175633559
rf_xgb_set5,0.12195005532689827,0.7356947150083492,0.3901500044894216
rf_xgb_set6,0.10643156245750207,0.7427087551287853,0.3741614109008398
rf_xgb_set7,0.0805760188864537,0.7596450869641822,0.3242618916321925
rf_xgb_set8,0.08136922766542616,0.7576013629786501,0.3154957088124686
svr_eNet_set1,0.272669640060686,0.6670751953733859,0.5341110986527843
svr_eNet_set2,0.18580879634348046,0.7137924285133402,0.4438391870849931
svr_eNet_set3,0.10408915632890207,0.746868518990447,0.36825657894926334
svr_eNet_set4,0.07062898068951758,0.7480278952381167,0.32545553643949016
svr_eNet_set5,0.20919374128040966,0.6991540719943581,0.46528951239973615
svr_eNet_set6,0.24497022197772786,0.6822019698276277,0.5037395951389637
svr_eNet_set7,0.1224276126896152,0.7379140485362431,0.39207705854814334
svr_eNet_set8,0.08223962470264076,0.7503774390441552,0.34421137359202103
svr_rf_set1,0.19135100784560094,0.7112197962901818,0.46723871079685136
svr_rf_set2,0.12125580962354533,0.7429264751723182,0.419815364687351
svr_rf_set3,0.07228221537907013,0.7580853291408234,0.35145416947587754
svr_rf_set4,0.03371780405070516,0.7606231218493177,0.30038331335463786
svr_rf_set5,0.1483944292843418,0.7303278059064456,0.4356284467431376
svr_rf_set6,0.19408657874022708,0.7138701119396827,0.4724517356002864
