name,label,r2,mae,corr
"Stacked: Resting and Task FC, RF+SVR",rf_svr_set8,0.153,0.733,0.451
"Stacked: All, RF+XGB",rf_xgb_set1,0.134,0.747,0.474
"Stacked: Task Contrast, RF+XGB",rf_xgb_set2,0.161,0.742,0.446
"Stacked: Non Task, RF+XGB",rf_xgb_set3,0.157,0.735,0.437
"Stacked: Task FC, RF+XGB",rf_xgb_set4,0.088,0.765,0.317
"Stacked: Task Contrast & Task FC, RF+XGB",rf_xgb_set5,0.137,0.748,0.459
"Stacked: All excluding Task FC, RF+XGB",rf_xgb_set6,0.183,0.73,0.544
"Stacked: All excluding Task Contrast, RF+XGB",rf_xgb_set7,0.136,0.746,0.449
"Stacked: Resting and Task FC, RF+XGB",rf_xgb_set8,0.142,0.738,0.437
"Stacked: All, SVR+eNet",svr_eNet_set1,0.247,0.69,0.517
"Stacked: Task Contrast, SVR+eNet",svr_eNet_set2,0.221,0.701,0.472
"Stacked: Non Task, SVR+eNet",svr_eNet_set3,0.182,0.719,0.441
"Stacked: Task FC, SVR+eNet",svr_eNet_set4,0.146,0.742,0.407
"Stacked: Task Contrast & Task FC, SVR+eNet",svr_eNet_set5,0.228,0.7,0.485
"Stacked: All excluding Task FC, SVR+eNet",svr_eNet_set6,0.247,0.688,0.513
"Stacked: All excluding Task Contrast, SVR+eNet",svr_eNet_set7,0.254,0.688,0.518
"Stacked: Resting and Task FC, SVR+eNet",svr_eNet_set8,0.217,0.704,0.479
"Stacked: All, SVR+RF",svr_rf_set1,0.15,0.736,0.398
"Stacked: Task Contrast, SVR+RF",svr_rf_set2,0.169,0.717,0.429
"Stacked: Non Task, SVR+RF",svr_rf_set3,0.083,0.755,0.371
"Stacked: Task FC, SVR+RF",svr_rf_set4,0.082,0.76,0.381
"Stacked: Task Contrast & Task FC, SVR+RF",svr_rf_set5,0.174,0.72,0.427
"Stacked: All excluding Task FC, SVR+RF",svr_rf_set6,0.178,0.719,0.432
"Stacked: All excluding Task Contrast, SVR+RF",svr_rf_set7,0.163,0.731,0.429
"Stacked: Resting and Task FC, SVR+RF",svr_rf_set8,0.171,0.721,0.462
"Stacked: All, SVR+SVR",svr_svr_set1,0.207,0.707,0.471
"Stacked: Task Contrast, SVR+SVR",svr_svr_set2,0.185,0.714,0.438
"Stacked: Non Task, SVR+SVR",svr_svr_set3,0.159,0.729,0.417
"Stacked: Task FC, SVR+SVR",svr_svr_set4,0.115,0.755,0.394
"Stacked: Task Contrast & Task FC, SVR+SVR",svr_svr_set5,0.194,0.714,0.452
"Stacked: All excluding Task FC, SVR+SVR",svr_svr_set6,0.205,0.705,0.466
"Stacked: All excluding Task Contrast, SVR+SVR",svr_svr_set7,0.223,0.703,0.485
"Stacked: Resting and Task FC, SVR+SVR",svr_svr_set8,0.194,0.714,0.465
"Stacked: All, SVR+XGB",svr_xgb_set1,0.158,0.733,0.409
"Stacked: Task Contrast, SVR+XGB",svr_xgb_set2,0.176,0.714,0.436
"Stacked: Non Task, SVR+XGB",svr_xgb_set3,0.101,0.75,0.378
"Stacked: Task FC, SVR+XGB",svr_xgb_set4,0.105,0.754,0.393
"Stacked: Task Contrast & Task FC, SVR+XGB",svr_xgb_set5,0.171,0.722,0.424
"Stacked: All excluding Task FC, SVR+XGB",svr_xgb_set6,0.169,0.724,0.421
"Stacked: All excluding Task Contrast, SVR+XGB",svr_xgb_set7,0.183,0.724,0.445
"Stacked: Resting and Task FC, SVR+XGB",svr_xgb_set8,0.167,0.725,0.453
"Stacked: All, XGB+eNet",xgb_eNet_set1,0.193,0.722,0.558
"Stacked: Task Contrast, XGB+eNet",xgb_eNet_set2,0.171,0.738,0.453
"Stacked: Non Task, XGB+eNet",xgb_eNet_set3,0.151,0.733,0.399
"Stacked: Task FC, XGB+eNet",xgb_eNet_set4,0.105,0.756,0.329
"Stacked: Task Contrast & Task FC, XGB+eNet",xgb_eNet_set5,0.178,0.732,0.493
"Stacked: All excluding Task FC, XGB+eNet",xgb_eNet_set6,0.217,0.714,0.564
"Stacked: All excluding Task Contrast, XGB+eNet",xgb_eNet_set7,0.177,0.724,0.482
"Stacked: Resting and Task FC, XGB+eNet",xgb_eNet_set8,0.156,0.734,0.419
"Stacked: All, XGB+RF",xgb_rf_set1,0.127,0.754,0.413
"Stacked: Task Contrast, XGB+RF",xgb_rf_set2,0.124,0.755,0.389
"Stacked: Non Task, XGB+RF",xgb_rf_set3,0.143,0.741,0.386
"Stacked: Task FC, XGB+RF",xgb_rf_set4,0.079,0.767,0.297
"Stacked: Task Contrast & Task FC, XGB+RF",xgb_rf_set5,0.139,0.751,0.412
"Stacked: All excluding Task FC, XGB+RF",xgb_rf_set6,0.189,0.724,0.493
"Stacked: All excluding Task Contrast, XGB+RF",xgb_rf_set7,0.109,0.76,0.359
"Stacked: Resting and Task FC, XGB+RF",xgb_rf_set8,0.073,0.775,0.286
"Stacked: All, XGB+SVR",xgb_svr_set1,0.139,0.749,0.434
"Stacked: Task Contrast, XGB+SVR",xgb_svr_set2,0.147,0.748,0.407
"Stacked: Non Task, XGB+SVR",xgb_svr_set3,0.139,0.738,0.382
"Stacked: Task FC, XGB+SVR",xgb_svr_set4,0.09,0.763,0.311
"Stacked: Task Contrast & Task FC, XGB+SVR",xgb_svr_set5,0.134,0.752,0.403
"Stacked: All excluding Task FC, XGB+SVR",xgb_svr_set6,0.197,0.724,0.507
"Stacked: All excluding Task Contrast, XGB+SVR",xgb_svr_set7,0.121,0.753,0.367
"Stacked: Resting and Task FC, XGB+SVR",xgb_svr_set8,0.097,0.764,0.321
"Stacked: All, XGB+XGB",xgb_xgb_set1,0.137,0.751,0.419
"Stacked: Task Contrast, XGB+XGB",xgb_xgb_set2,0.131,0.753,0.391
"Stacked: Non Task, XGB+XGB",xgb_xgb_set3,0.146,0.737,0.392
"Stacked: Task FC, XGB+XGB",xgb_xgb_set4,0.085,0.764,0.301
"Stacked: Task Contrast & Task FC, XGB+XGB",xgb_xgb_set5,0.137,0.752,0.401
"Stacked: All excluding Task FC, XGB+XGB",xgb_xgb_set6,0.184,0.728,0.485
"Stacked: All excluding Task Contrast, XGB+XGB",xgb_xgb_set7,0.119,0.756,0.362
"Stacked: Resting and Task FC, XGB+XGB",xgb_xgb_set8,0.094,0.765,0.315
