name,label,r2,mae,corr
"Stacked: Resting and Task FC, RF+XGB",rf_xgb_set8,0.081,0.758,0.315
"Stacked: All, SVR+eNet",svr_eNet_set1,0.273,0.667,0.534
"Stacked: Task Contrast, SVR+eNet",svr_eNet_set2,0.186,0.714,0.444
"Stacked: Non Task, SVR+eNet",svr_eNet_set3,0.104,0.747,0.368
"Stacked: Task FC, SVR+eNet",svr_eNet_set4,0.071,0.748,0.325
"Stacked: Task Contrast & Task FC, SVR+eNet",svr_eNet_set5,0.209,0.699,0.465
"Stacked: All excluding Task FC, SVR+eNet",svr_eNet_set6,0.245,0.682,0.504
"Stacked: All excluding Task Contrast, SVR+eNet",svr_eNet_set7,0.122,0.738,0.392
"Stacked: Resting and Task FC, SVR+eNet",svr_eNet_set8,0.082,0.750,0.344
"Stacked: All, SVR+RF",svr_rf_set1,0.191,0.711,0.467
"Stacked: Task Contrast, SVR+RF",svr_rf_set2,0.121,0.743,0.420
"Stacked: Non Task, SVR+RF",svr_rf_set3,0.072,0.758,0.351
"Stacked: Task FC, SVR+RF",svr_rf_set4,0.034,0.761,0.300
"Stacked: Task Contrast & Task FC, SVR+RF",svr_rf_set5,0.148,0.730,0.436
"Stacked: All excluding Task FC, SVR+RF",svr_rf_set6,0.194,0.714,0.472
"Stacked: All excluding Task Contrast, SVR+RF",svr_rf_set7,0.077,0.756,0.372
"Stacked: Resting and Task FC, SVR+RF",svr_rf_set8,0.045,0.768,0.334
"Stacked: All, SVR+SVR",svr_svr_set1,0.251,0.678,0.511
"Stacked: Task Contrast, SVR+SVR",svr_svr_set2,0.169,0.722,0.436
"Stacked: Non Task, SVR+SVR",svr_svr_set3,0.089,0.753,0.350
"Stacked: Task FC, SVR+SVR",svr_svr_set4,0.062,0.752,0.324
"Stacked: Task Contrast & Task FC, SVR+SVR",svr_svr_set5,0.192,0.706,0.451
"Stacked: All excluding Task FC, SVR+SVR",svr_svr_set6,0.230,0.690,0.488
"Stacked: All excluding Task Contrast, SVR+SVR",svr_svr_set7,0.090,0.749,0.360
"Stacked: Resting and Task FC, SVR+SVR",svr_svr_set8,0.046,0.766,0.324
"Stacked: All, SVR+XGB",svr_xgb_set1,0.216,0.700,0.480
"Stacked: Task Contrast, SVR+XGB",svr_xgb_set2,0.138,0.733,0.426
"Stacked: Non Task, SVR+XGB",svr_xgb_set3,0.081,0.758,0.354
"Stacked: Task FC, SVR+XGB",svr_xgb_set4,0.032,0.763,0.300
"Stacked: Task Contrast & Task FC, SVR+XGB",svr_xgb_set5,0.160,0.725,0.438
"Stacked: All excluding Task FC, SVR+XGB",svr_xgb_set6,0.185,0.717,0.461
"Stacked: All excluding Task Contrast, SVR+XGB",svr_xgb_set7,0.071,0.761,0.368
"Stacked: Resting and Task FC, SVR+XGB",svr_xgb_set8,0.042,0.771,0.334
"Stacked: All, XGB+eNet",xgb_eNet_set1,0.155,0.724,0.416
"Stacked: Task Contrast, XGB+eNet",xgb_eNet_set2,0.119,0.741,0.349
"Stacked: Non Task, XGB+eNet",xgb_eNet_set3,0.063,0.765,0.297
"Stacked: Task FC, XGB+eNet",xgb_eNet_set4,-0.027,0.792,0.222
"Stacked: Task Contrast & Task FC, XGB+eNet",xgb_eNet_set5,0.132,0.735,0.370
"Stacked: All excluding Task FC, XGB+eNet",xgb_eNet_set6,0.141,0.726,0.383
"Stacked: All excluding Task Contrast, XGB+eNet",xgb_eNet_set7,0.059,0.765,0.279
"Stacked: Resting and Task FC, XGB+eNet",xgb_eNet_set8,0.040,0.776,0.260
"Stacked: All, XGB+RF",xgb_rf_set1,0.104,0.749,0.327
"Stacked: Task Contrast, XGB+RF",xgb_rf_set2,0.075,0.763,0.304
"Stacked: Non Task, XGB+RF",xgb_rf_set3,0.051,0.774,0.288
"Stacked: Task FC, XGB+RF",xgb_rf_set4,-0.060,0.806,0.216
"Stacked: Task Contrast & Task FC, XGB+RF",xgb_rf_set5,0.096,0.752,0.320
"Stacked: All excluding Task FC, XGB+RF",xgb_rf_set6,0.106,0.747,0.327
"Stacked: All excluding Task Contrast, XGB+RF",xgb_rf_set7,0.035,0.778,0.261
"Stacked: Resting and Task FC, XGB+RF",xgb_rf_set8,0.018,0.785,0.247
"Stacked: All, XGB+SVR",xgb_svr_set1,0.134,0.736,0.369
"Stacked: Task Contrast, XGB+SVR",xgb_svr_set2,0.102,0.749,0.333
"Stacked: Non Task, XGB+SVR",xgb_svr_set3,0.049,0.770,0.290
"Stacked: Task FC, XGB+SVR",xgb_svr_set4,-0.047,0.799,0.218
"Stacked: Task Contrast & Task FC, XGB+SVR",xgb_svr_set5,0.118,0.741,0.347
"Stacked: All excluding Task FC, XGB+SVR",xgb_svr_set6,0.127,0.733,0.354
"Stacked: All excluding Task Contrast, XGB+SVR",xgb_svr_set7,0.045,0.771,0.264
"Stacked: Resting and Task FC, XGB+SVR",xgb_svr_set8,0.026,0.781,0.252
"Stacked: All, XGB+XGB",xgb_xgb_set1,0.118,0.741,0.345
"Stacked: Task Contrast, XGB+XGB",xgb_xgb_set2,0.095,0.753,0.323
"Stacked: Non Task, XGB+XGB",xgb_xgb_set3,0.050,0.773,0.292
"Stacked: Task FC, XGB+XGB",xgb_xgb_set4,-0.054,0.803,0.221
"Stacked: Task Contrast & Task FC, XGB+XGB",xgb_xgb_set5,0.105,0.749,0.331
"Stacked: All excluding Task FC, XGB+XGB",xgb_xgb_set6,0.118,0.739,0.340
"Stacked: All excluding Task Contrast, XGB+XGB",xgb_xgb_set7,0.034,0.780,0.257
"Stacked: Resting and Task FC, XGB+XGB",xgb_xgb_set8,0.021,0.784,0.248
