name,label,r2,mae,corr
"Stacked: Task FC, SVR+XGB",svr_xgb_set4,-0.107,0.839,0.039
"Stacked: Task Contrast & Task FC, SVR+XGB",svr_xgb_set5,-0.104,0.836,0.087
"Stacked: All excluding Task FC, SVR+XGB",svr_xgb_set6,-0.096,0.836,0.092
"Stacked: All excluding Task Contrast, SVR+XGB",svr_xgb_set7,-0.106,0.845,0.058
"Stacked: Resting and Task FC, SVR+XGB",svr_xgb_set8,-0.085,0.834,0.077
"Stacked: All, XGB+eNet",xgb_eNet_set1,-0.021,0.798,0.145
"Stacked: Task Contrast, XGB+eNet",xgb_eNet_set2,-0.053,0.815,0.135
"Stacked: Non Task, XGB+eNet",xgb_eNet_set3,-0.077,0.830,0.122
"Stacked: Task FC, XGB+eNet",xgb_eNet_set4,-0.155,0.853,0.053
"Stacked: Task Contrast & Task FC, XGB+eNet",xgb_eNet_set5,-0.039,0.810,0.134
"Stacked: All excluding Task FC, XGB+eNet",xgb_eNet_set6,-0.030,0.806,0.142
"Stacked: All excluding Task Contrast, XGB+eNet",xgb_eNet_set7,-0.081,0.830,0.107
"Stacked: Resting and Task FC, XGB+eNet",xgb_eNet_set8,-0.084,0.830,0.102
"Stacked: All, XGB+RF",xgb_rf_set1,-0.064,0.816,0.110
"Stacked: Task Contrast, XGB+RF",xgb_rf_set2,-0.087,0.829,0.124
"Stacked: Non Task, XGB+RF",xgb_rf_set3,-0.091,0.833,0.126
"Stacked: Task FC, XGB+RF",xgb_rf_set4,-0.158,0.855,0.055
"Stacked: Task Contrast & Task FC, XGB+RF",xgb_rf_set5,-0.072,0.822,0.117
"Stacked: All excluding Task FC, XGB+RF",xgb_rf_set6,-0.074,0.823,0.118
"Stacked: All excluding Task Contrast, XGB+RF",xgb_rf_set7,-0.100,0.840,0.096
"Stacked: Resting and Task FC, XGB+RF",xgb_rf_set8,-0.113,0.842,0.097
"Stacked: All, XGB+SVR",xgb_svr_set1,-0.032,0.803,0.138
"Stacked: Task Contrast, XGB+SVR",xgb_svr_set2,-0.074,0.823,0.134
"Stacked: Non Task, XGB+SVR",xgb_svr_set3,-0.110,0.843,0.114
"Stacked: Task FC, XGB+SVR",xgb_svr_set4,-0.178,0.862,0.051
"Stacked: Task Contrast & Task FC, XGB+SVR",xgb_svr_set5,-0.053,0.815,0.131
"Stacked: All excluding Task FC, XGB+SVR",xgb_svr_set6,-0.045,0.812,0.137
"Stacked: All excluding Task Contrast, XGB+SVR",xgb_svr_set7,-0.095,0.836,0.104
"Stacked: Resting and Task FC, XGB+SVR",xgb_svr_set8,-0.104,0.839,0.100
"Stacked: All, XGB+XGB",xgb_xgb_set1,-0.058,0.813,0.112
"Stacked: Task Contrast, XGB+XGB",xgb_xgb_set2,-0.082,0.827,0.125
"Stacked: Non Task, XGB+XGB",xgb_xgb_set3,-0.112,0.841,0.113
"Stacked: Task FC, XGB+XGB",xgb_xgb_set4,-0.188,0.868,0.052
"Stacked: Task Contrast & Task FC, XGB+XGB",xgb_xgb_set5,-0.068,0.821,0.122
"Stacked: All excluding Task FC, XGB+XGB",xgb_xgb_set6,-0.060,0.818,0.127
"Stacked: All excluding Task Contrast, XGB+XGB",xgb_xgb_set7,-0.111,0.844,0.098
"Stacked: Resting and Task FC, XGB+XGB",xgb_xgb_set8,-0.116,0.843,0.098
