name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7
"Cortical Thickness, RF",rf_cort,0.119977156014434,0.122860847120658,0.095457422703987,0.240376039313754,0.105983443324197,0.263701895539664,0.117676825147701,0.133232667226165
"Emotion Processing Contrast, RF",rf_emo,0.135196436256178,0.147018000051684,0.236351277855984,0.244968051503266,0.152482704177892,0.208186615535662,0.26490661854013,0.351359666519092
"Gambling Contrast, RF",rf_gam,0.244429229841258,0.150674846671705,0.019167333346631,0.24833620519822,0.110072515957704,0.103990859159017,0.256226226794954,0.022136830743093
"Gambling FC, RF",rf_gam_FC_PCA75,0.304319912685128,0.200430327582944,0.17858451184486,0.247450627520309,0.096808001208537,0.327529402018462,0.405261949776189,0.412676668703675
"Language Contrast, RF",rf_lan,0.430525313502101,0.259190953210924,0.476559622317428,0.285737067696113,0.20268384897234,0.370968862281715,0.436989215995602,0.374950746274744
"Language FC, RF",rf_lan_FC_PCA75,0.406848374358147,0.350657755012871,0.271611059900325,0.305248440329341,0.179802037227796,0.464650449809615,0.407311171129926,0.328059334470572
"Motor Contrast, RF",rf_mot,0.298205666740365,0.24909195794484,0.336538626320479,0.413679699239297,0.283347018541927,0.106379086529837,0.34672286577663,0.301569310785461
"Motor FC, RF",rf_mot_FC_PCA75,0.332538300152109,0.116481640708327,0.331328698775441,0.258126258843525,0.114097656769677,0.249489182909274,0.421637703233872,0.291088243480272
"Relational Contrast, RF",rf_rel,0.309887265159191,0.230331779018621,0.167570444922565,0.451966013080264,0.451655477960964,0.282443866182151,0.466250114314613,0.181907346875355
"Relational FC, RF",rf_rel_FC_PCA75,0.352925398042359,0.252092617233231,0.417522103386412,0.374676722478025,0.098668463976956,0.258535066205074,0.311764017932991,0.328199104603247
"Resting State FC, RF",rf_rest_PCA75,0.270461125040197,0.25841128115383,0.183695800994418,0.256207898463993,0.254616564407874,0.382361144259113,0.359765359314387,0.195780822987686
"Social Cognition Contrast, RF",rf_soc,0.436838545300266,0.191799061284984,0.327962780209122,0.378656171074367,0.336098166109004,0.204321639295261,0.26754297635164,0.290415385550583
"Social Cognition FC, RF",rf_soc_FC_PCA75,0.441572988129162,0.377282051346478,0.397031043228921,0.226086027937924,0.316633603133675,0.382196280272154,0.49787623464248,0.18772276130287
"Subcortical Volume, RF",rf_subc,0.030107014956971,0.35212570239501,0.22202521139714,0.18897688003658,0.154700979490171,0.221382275501286,0.359982134798491,0.126320193842106
"Surface Area, RF",rf_surf,0.139419459400545,0.183891112194514,0.142903578688786,0.360469565875312,0.253318497168949,0.288559457341771,0.35841428920001,0.261809466605831
"Working Memory Contrast, RF",rf_wm,0.498953427734061,0.454712620476759,0.465573118543672,0.457596943124516,0.319231188751978,0.333007545673351,0.534121735067834,0.556761226734244
"Working Memory FC, RF",rf_wm_FC_PCA75,0.392218217938604,0.228676814810354,0.425634512408873,0.495143112998643,0.167183926250045,0.392058662201275,0.551674499004405,0.47776935951216
"Total Brain Volume, SVR",svr_VolBrain,0.023849931356912,0.189907583659013,0.113519564964334,0.164470269868784,0.145539530715267,0.235060323038724,0.408002259541466,0.248275508361649
