name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4
"Stacked: Non Task, RF+RF",rf_rf_set3,0.726917277787177,0.768279107959771,0.673643417239044,0.806641479535014,0.677318659492887
"Stacked: Task FC, RF+RF",rf_rf_set4,0.779769715807353,0.759411993286858,0.697319398810357,0.831416359976132,0.73842394962725
"Stacked: Task Contrast & Task FC, RF+RF",rf_rf_set5,0.767099901686723,0.745456780558124,0.68779637377356,0.832359431178265,0.693640609256717
"Stacked: All excluding Task FC, RF+RF",rf_rf_set6,0.750681697094677,0.726185823933955,0.663309889239463,0.823862595542466,0.674675424570584
"Stacked: All excluding Task Contrast, RF+RF",rf_rf_set7,0.748025779980404,0.754571897424589,0.687560854401248,0.808507751961156,0.68342813581415
"Stacked: Resting and Task FC, RF+RF",rf_rf_set8,0.754441703771778,0.74966562188914,0.665591062110905,0.802998160257896,0.689980970686998
"Stacked: All, RF+SVR",rf_svr_set1,0.773759963799142,0.73666243888145,0.681495036450955,0.823155671475757,0.674971559696259
"Stacked: Task Contrast, RF+SVR",rf_svr_set2,0.766654601078576,0.765358331140442,0.667993872538666,0.848018312261717,0.682632945456173
"Stacked: Non Task, RF+SVR",rf_svr_set3,0.729812982272644,0.760524331112225,0.679652455641067,0.819247194918222,0.682603694401169
"Stacked: Task FC, RF+SVR",rf_svr_set4,0.780076149392788,0.762868606683949,0.691308447481651,0.830530933772894,0.737367104504516
"Stacked: Task Contrast & Task FC, RF+SVR",rf_svr_set5,0.758085305395603,0.740318343660656,0.681628484156041,0.830677046372199,0.693210354146616
"Stacked: All excluding Task FC, RF+SVR",rf_svr_set6,0.746611278602542,0.725406641093971,0.669191955273438,0.824967571567592,0.666834547193441
"Stacked: All excluding Task Contrast, RF+SVR",rf_svr_set7,0.75303473003516,0.75422656052923,0.687363238464767,0.811587497508021,0.685253640516329
"Stacked: Resting and Task FC, RF+SVR",rf_svr_set8,0.754534276904158,0.749294464030289,0.66990576040733,0.804374095502601,0.68846873430062
