name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4
"Stacked: Task Contrast, RF+RF",rf_rf_set2,0.499658944541597,0.548280627529281,0.455771183594063,0.405696956315937,0.335594234429487
"Stacked: Non Task, RF+RF",rf_rf_set3,0.602340520199636,0.37513667508444,0.422412959212886,0.399720791963821,0.401597211606335
"Stacked: Task FC, RF+RF",rf_rf_set4,0.399074860964413,0.360497456228726,0.353211739973304,0.354795689182544,0.140954507549099
"Stacked: Task Contrast & Task FC, RF+RF",rf_rf_set5,0.523656513789786,0.474456560104678,0.489565186457757,0.500875546168379,0.388191751910185
"Stacked: All excluding Task FC, RF+RF",rf_rf_set6,0.627828945703364,0.56238562224106,0.582752127450624,0.517810881167006,0.492192820339616
"Stacked: All excluding Task Contrast, RF+RF",rf_rf_set7,0.603172623300773,0.431437044339318,0.484682499874919,0.499774546290954,0.423825495237537
"Stacked: Resting and Task FC, RF+RF",rf_rf_set8,0.546030294893545,0.421725005720781,0.484786880112367,0.498522216323906,0.317060318663464
"Stacked: All, RF+SVR",rf_svr_set1,0.546911431836751,0.509894232484526,0.557315641429261,0.545842970014631,0.498965746257657
"Stacked: Task Contrast, RF+SVR",rf_svr_set2,0.455030028123456,0.396286522709129,0.47057918923507,0.412500414527386,0.357978917071311
"Stacked: Non Task, RF+SVR",rf_svr_set3,0.588735601823093,0.362627115501071,0.398903227966061,0.407778320350955,0.386182273530441
"Stacked: Task FC, RF+SVR",rf_svr_set4,0.398966210122783,0.352407521029063,0.379586052822048,0.397094811238777,0.147622840694804
"Stacked: Task Contrast & Task FC, RF+SVR",rf_svr_set5,0.570631901071827,0.486046287110379,0.499092445874839,0.516889587509658,0.367655753787492
"Stacked: All excluding Task FC, RF+SVR",rf_svr_set6,0.62481946442085,0.536880367718249,0.544300304686994,0.530057762430073,0.521749325127913
"Stacked: All excluding Task Contrast, RF+SVR",rf_svr_set7,0.580165840350651,0.414085223760666,0.484750159736351,0.477719281758275,0.431110804375165
"Stacked: Resting and Task FC, RF+SVR",rf_svr_set8,0.548632923345315,0.430718117688322,0.467337789650491,0.48230270652719,0.324086819214873
"Stacked: All, RF+XGB",rf_xgb_set1,0.447594152391695,0.450167542069017,0.534376846054759,0.510403957184883,0.427239164031844
"Stacked: Task Contrast, RF+XGB",rf_xgb_set2,0.514957623474228,0.522315351377635,0.471896553719273,0.40124513608533,0.317864728808912
"Stacked: Non Task, RF+XGB",rf_xgb_set3,0.600119695723545,0.355421242962449,0.410406495921848,0.430238562147609,0.38757774272989
"Stacked: Task FC, RF+XGB",rf_xgb_set4,0.374110488774455,0.334227401358662,0.357846459799272,0.377879583244913,0.139164678042673
"Stacked: Task Contrast & Task FC, RF+XGB",rf_xgb_set5,0.519728717857366,0.434573308881172,0.473649163455026,0.493678953178555,0.372589790735408
"Stacked: All excluding Task FC, RF+XGB",rf_xgb_set6,0.604213937264596,0.553788919964275,0.595424547992304,0.506930005069199,0.457941247229578
"Stacked: All excluding Task Contrast, RF+XGB",rf_xgb_set7,0.584157817570261,0.383956615208096,0.455937540735745,0.46190733590232,0.357027019977583
"Stacked: Resting and Task FC, RF+XGB",rf_xgb_set8,0.541225059440463,0.402942527188849,0.456019524265488,0.485958979654523,0.299606902134343
"Stacked: All, SVR+eNet",svr_eNet_set1,0.513389370319548,0.581861391530574,0.488021060106167,0.60084145631315,0.399456231245207
"Stacked: Task Contrast, SVR+eNet",svr_eNet_set2,0.453474712738052,0.568526204671596,0.455074703642902,0.511354478600817,0.373118575289131
"Stacked: Non Task, SVR+eNet",svr_eNet_set3,0.509267353656304,0.448129146319327,0.364963086446982,0.463204935488684,0.420236992329818
"Stacked: Task FC, SVR+eNet",svr_eNet_set4,0.442734925744937,0.422678065334988,0.383324162065709,0.4134261728481,0.371865801117735
"Stacked: Task Contrast & Task FC, SVR+eNet",svr_eNet_set5,0.476725332952569,0.540588114064185,0.475337238244676,0.548412242626794,0.384999634915755
"Stacked: All excluding Task FC, SVR+eNet",svr_eNet_set6,0.498432711476057,0.602289521608756,0.477684141136544,0.590699038463124,0.395218197207009
"Stacked: All excluding Task Contrast, SVR+eNet",svr_eNet_set7,0.551788276907198,0.507451463301555,0.467380621409013,0.528702959351264,0.534476665908997
"Stacked: Resting and Task FC, SVR+eNet",svr_eNet_set8,0.484309563560367,0.468469284292608,0.45183010852471,0.507553584667375,0.484311381962083
"Stacked: All, SVR+RF",svr_rf_set1,0.475294791566298,0.438978467035723,0.396365470206871,0.357130117748136,0.324230778844583
